WT sseJ sseL slrP ssaV_new srfJ steC sspH2 sseI steB spvD_new sseG sseF sifB pipB2 steA sifA gtgE steE spvB gogB sseK1 gtgA sopD2 pipB
1 0 39 2 2 1 31 5 9 1 8 6 0 4 0 0 16 0 0 0 0 43 1 1 0 0
2 0 36 8 3 0 23 4 2479 4 4 8 0 6 0 0 13 0 0 0 0 37 0 0 0 0
3 0 75 8 3 2 41 10 8 5 13 23 0 10 0 0 25 0 0 0 0 80 0 0 0 0
4 0 40 7 2 2 31 8 13 5 10 11 0 13 0 0 28 0 0 0 1 63 3 0 0 0
5 0 28 6 4 2 31 5 11 3 5 7 0 13 0 0 33 0 0 0 0 35 0 0 0 0
6 0 29 9 9 1 46 10 10 8 9 14 0 8 0 0 56 0 0 0 1 69 0 0 0 0
7 0 31 2 1 0 24 8 7 4 2 9 0 5 0 0 457353 1 0 1 0 28 0 0 0 0
8 0 58 10 6 2 39 19 23 10 14 18 0 10 0 0 46 0 1 0 0 64 1 0 0 0
9 0 41 6 6 1 40 10 18 15 10 18 0 17 0 0 32 0 0 0 0 56 0 0 0 0
10 0 40 3 2 1 22 3 18 9 10 7 0 8 0 0 28 0 1 0 0 37 1 0 0 0
11 0 81 5 2 0 30 5 20 13 10 10 0 7 0 0 63 0 0 0 0 65 1 1 0 0
12 0 23 7 2 0 33 4 16 2 5 11 0 9 0 0 23 0 1 0 0 43 1 0 0 0
13 0 40 3 5 0 33 9 17 10 11 17 0 18 0 0 115 0 1 0 181 64 0 0 0 0
14 0 43 4 2 0 33 2 8 7 5 12 0 8 0 0 14 0 0 0 0 53 0 0 0 0
15 0 57 6 6 1 62 9 20 8 6 18 0 14 0 0 56 0 0 1 0 73 1 0 0 0
16 0 31 6 4 2 44 15 20 9 9 12 0 18 0 0 21 0 0 0 0 69 0 0 0 0
17 0 67 5 3 1 55 22 26 12 10 19 0 16 0 0 39 0 0 0 0 96 0 0 0 0
18 0 142 29719 2 0 132478 17 19 9 21 54 5 14 0 0 26 0 0 0 1 106 1652 0 0 0
19 0 70 9 8 2 58 17 10 1237 7 22 0 15 0 0 39 0 0 0 0 75 0 0 0 0
20 0 53 8 3 0 52 10 23 5 11 17 0 10 0 0 44 0 1 0 0 73 0 135 0 0
21 0 26 10 1 0 30 6 12 8 6 12 0 7 0 0 14 0 0 0 1 78 1 0 0 0
22 0 205 5 3 0 29 13 16 10 16 16 0 8 0 0 28 0 0 0 0 50 1 1 0 0
23 0 33 3 4 1 28 3 15 2 7 10 0 11 0 0 32 0 0 0 0 31 0 0 0 0
24 0 39 5 2 3 42 8 14 4 9 4 0 10 0 0 21 0 0 0 0 53 0 4 0 0
25 0 29 8 2 242 39 4 5 5 8 8 0 3 0 0 14 0 0 0 0 63 0 1 0 0
26 0 42 8 2 2 52 6 16 4 14 20 0 13 0 0 27 0 0 0 0 86 2 0 0 0
27 0 83 15 12 3 67 13 26 11 15 24 0 19 0 0 57 0 0 0 1 109 1 0 0 0
28 0 56 3 2 0 45981 7 18 7 12 21 0 23 0 0 53 0 0 0 0 60 1 0 0 0
29 0 66 4 10 1 52 12 26 17196 12 25 0 7 0 0 72 0 0 0 1 92 0 3 0 0
30 0 64093 16 2 1 70 18 28 11 12 29 0 27 0 0 40 0 0 0 0 76 1 0 0 0
31 0 55 8 5 3 55 81942 24 3 10 23 0 14 0 0 24 0 0 1 0 77 1 0 0 0
32 0 69 5 6 0 37 17 19 6 12 18 0 14 0 0 9297 0 0 0 1 68 0 2 0 0
33 0 44 8 6 2 47 6 27 8 4 21 0 21 0 0 34 0 0 0 1 325 3 0 0 0
34 0 36 5 2 2 33 16 13 7 10 9 0 6 0 0 26 0 0 0 0 48 1 0 0 0
35 0 50 5 2 4 30 6 12 3 6 10 0 4 0 0 38 0 0 0 0 42 0 1 0 0
36 0 22 3 3 0 27 4 10 6 9 15 0 12 0 0 23 0 0 0 0 547 0 0 0 0
37 0 40 11 3 2 48 15 17 9 14 14 0 12 0 0 29 0 0 1 0 73 0 1 0 0
38 0 97 12 9 1 77 12 36 14 11 20 0 19 0 0 79 0 0 1 2 113 1 0 0 0
39 0 52 6 3 1 28 16 19 13 10 16 0 5 0 0 11 0 0 0 0 56 0 0 0 0
40 0 87 16 3 2 85 60 27 21 16 20 0 19 0 0 43 0 1 0 1 99 0 1 0 0
41 0 90 16 5 3 80 18 29 7 17 20 0 22 0 0 67 0 3 0 0 105 1 1 0 0
42 0 177 13 3 2 47 20 27 8 11 14 0 10 0 0 39 0 1 0 0 80 1 1 0 0
43 0 38 9 6 0 42 7 14 7 7 10 0 6 0 0 31 0 0 0 0 40 0 0 0 0
44 0 119441 5 2 2 35 15 8738 3 12 19 0 5 0 0 30 1 0 0 0 98 0 0 0 0
